8
7	
0 0
4 4
4 7
9 7
13 -1
8 -6
4 -4
6	
0 0
4 7
9 7
13 -1
8 -6
4 -4
10	
0 0
0 10
5 10
5 20
20 20
20 9
25 9
25 -1
15 -1
15 0
8
0 -10
0 100
100 100
100 80
20 80
20 20
100 20
100 -10
7
20 0
0 45
23 68
42 50
80 76
44 10
34 21
1280
-401 -398
-400 -395
-401 -393
-400 -390
-401 -388
-400 -385
-401 -383
-400 -380
-401 -378
-400 -375
-401 -373
-400 -370
-401 -368
-400 -365
-401 -363
-400 -360
-401 -358
-400 -355
-401 -353
-400 -350
-401 -348
-400 -345
-401 -343
-400 -340
-401 -338
-400 -335
-401 -333
-400 -330
-401 -328
-400 -325
-401 -323
-400 -320
-401 -318
-400 -315
-401 -313
-400 -310
-401 -308
-400 -305
-401 -303
-400 -300
-401 -298
-400 -295
-401 -293
-400 -290
-401 -288
-400 -285
-401 -283
-400 -280
-401 -278
-400 -275
-401 -273
-400 -270
-401 -268
-400 -265
-401 -263
-400 -260
-401 -258
-400 -255
-401 -253
-400 -250
-401 -248
-400 -245
-401 -243
-400 -240
-401 -238
-400 -235
-401 -233
-400 -230
-401 -228
-400 -225
-401 -223
-400 -220
-401 -218
-400 -215
-401 -213
-400 -210
-401 -208
-400 -205
-401 -203
-400 -200
-401 -198
-400 -195
-401 -193
-400 -190
-401 -188
-400 -185
-401 -183
-400 -180
-401 -178
-400 -175
-401 -173
-400 -170
-401 -168
-400 -165
-401 -163
-400 -160
-401 -158
-400 -155
-401 -153
-400 -150
-401 -148
-400 -145
-401 -143
-400 -140
-401 -138
-400 -135
-401 -133
-400 -130
-401 -128
-400 -125
-401 -123
-400 -120
-401 -118
-400 -115
-401 -113
-400 -110
-401 -108
-400 -105
-401 -103
-400 -100
-401 -98
-400 -95
-401 -93
-400 -90
-401 -88
-400 -85
-401 -83
-400 -80
-401 -78
-400 -75
-401 -73
-400 -70
-401 -68
-400 -65
-401 -63
-400 -60
-401 -58
-400 -55
-401 -53
-400 -50
-401 -48
-400 -45
-401 -43
-400 -40
-401 -38
-400 -35
-401 -33
-400 -30
-401 -28
-400 -25
-401 -23
-400 -20
-401 -18
-400 -15
-401 -13
-400 -10
-401 -8
-400 -5
-401 -3
-400 0
-401 2
-400 5
-401 7
-400 10
-401 12
-400 15
-401 17
-400 20
-401 22
-400 25
-401 27
-400 30
-401 32
-400 35
-401 37
-400 40
